,waist,hips,bra size,bust,height,size,body-shape,Dress-Style
84,29.0,38.0,36.0,36,5.07,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
85,28.0,40.0,38.0,38,5.03,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
86,40.0,55.0,44.0,50,5.02,32,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
87,31.0,44.0,36.0,36,4.1,11,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
88,42.0,45.0,38.0,42,5.09,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
89,27.0,37.0,34.0,34,5.07,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
90,32.0,40.0,38.0,44,5.07,20,Triangle,"ruffled tops or  deep-V, scoop or boat neck dresses Wide-legged pants "
91,29.0,39.0,34.0,39,5.06,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
92,45.0,54.0,42.0,51,5.06,32,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
93,29.0,42.0,36.0,37,5.04,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
94,26.0,34.0,32.0,34,5.06,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
95,38.0,52.0,42.0,44,5.06,26,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
96,28.0,36.0,32.0,36,5.02,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
97,40.0,55.0,36.0,45,5.07,20,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
98,29.0,39.0,36.0,36,5.5,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
99,32.0,37.0,32.0,32,5.04,4,,
100,31.0,40.0,38.0,38,5.03,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
101,28.0,38.0,34.0,34,5.02,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
102,27.0,34.0,34.0,33,5.0,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
103,26.0,38.0,34.0,34,5.03,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
104,27.0,34.0,34.0,33,5.0,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
105,30.0,41.0,38.0,38,5.07,9,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
106,28.0,36.0,34.0,35,5.1,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
107,28.0,36.0,34.0,35,5.1,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
108,30.0,38.0,36.0,36,5.06,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
109,28.0,38.0,34.0,34,5.02,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
110,26.0,34.0,32.0,32,5.03,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
111,28.0,38.0,34.0,34,5.02,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
112,29.0,39.0,36.0,36,5.5,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
113,24.0,34.0,32.0,32,5.0,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
114,25.0,35.0,32.0,32,5.5,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
115,28.0,38.0,34.0,34,5.02,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
116,27.0,37.0,36.0,35,5.09,7,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
117,27.0,34.0,34.0,33,5.0,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
118,35.0,45.0,38.0,45,5.07,26,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
119,28.0,36.0,32.0,35,5.08,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
120,31.0,44.0,38.0,38,5.1,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
121,30.0,37.0,38.0,39,5.1,12,,
122,29.0,38.0,34.0,36,5.06,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
123,30.0,40.0,36.0,37,5.5,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
124,30.0,38.0,36.0,36,5.06,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
125,33.0,41.0,36.0,37,5.04,12,,
126,26.0,40.0,34.0,36,5.04,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
127,36.0,42.0,38.0,44,5.03,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
128,41.0,52.0,38.0,50,5.07,26,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
129,32.0,40.0,36.0,38,5.09,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
130,30.0,36.0,34.0,36,5.0,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
131,34.0,40.0,38.0,38,5.5,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
132,29.0,38.0,32.0,35,5.04,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
133,31.0,42.0,34.0,39,5.04,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
134,27.0,34.0,34.0,33,5.0,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
135,29.0,40.0,34.0,36,5.5,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
136,27.0,36.0,32.0,31,5.07,1,,
137,44.0,47.0,40.0,48,5.01,26,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
138,24.0,36.0,32.0,32,5.5,1,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
139,26.0,36.0,32.0,33,5.07,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
140,26.0,40.0,34.0,36,5.04,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
141,27.0,37.0,34.0,34,5.01,7,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
142,38.0,50.0,40.0,40,5.09,20,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
143,28.0,39.0,34.0,34,5.06,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
144,32.0,41.0,32.0,39,5.07,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
145,26.0,36.0,30.0,32,5.5,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
146,29.0,38.0,36.0,37,5.02,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
147,31.0,41.0,36.0,38,5.08,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
148,32.0,38.0,34.0,41,5.5,12,,
149,29.0,37.0,34.0,34,5.03,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
150,29.0,39.0,38.0,37,5.5,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
151,30.0,40.0,34.0,33,5.03,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
152,38.0,52.0,36.0,47,5.01,26,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
153,27.0,34.0,34.0,33,5.0,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
154,26.0,40.0,34.0,36,5.04,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
155,27.0,36.0,34.0,35,5.03,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
156,28.0,35.0,34.0,36,5.08,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
